iter	RMSE
0	0.1379439429
1	0.1375014473
2	0.1370183056
3	0.1365250022
4	0.1356636089
5	0.135147392
6	0.1346124063
7	0.1341683862
8	0.1336930826
9	0.1333862835
10	0.1329630686
11	0.1325618998
12	0.1321594892
13	0.1317077743
14	0.131405562
15	0.1309286149
16	0.1305251874
17	0.1301535692
18	0.1297521811
19	0.1293806473
20	0.1291455176
21	0.1286909552
22	0.1282273939
23	0.1277428114
24	0.1275013304
25	0.1271399367
26	0.1269026242
27	0.1265868715
28	0.1262250456
29	0.125722941
30	0.1254396007
31	0.1250305444
32	0.1246671441
33	0.1242816988
34	0.1238993392
35	0.1234684258
36	0.123106622
37	0.1227676644
38	0.1224183632
39	0.1217462991
40	0.121361096
41	0.1208750756
42	0.1203564267
43	0.1200043402
44	0.1196403348
45	0.1192063994
46	0.1187205174
47	0.1182732095
48	0.1179888023
49	0.1177483649
50	0.1174318741
51	0.1170934844
52	0.1166067206
53	0.1162726606
54	0.116052254
55	0.1156138482
56	0.1153397625
57	0.1148773213
58	0.1146439899
59	0.1142980031
60	0.1139701239
61	0.1136748841
62	0.113422752
63	0.1130534932
64	0.1126874704
65	0.1123066916
66	0.111982736
67	0.111680694
68	0.1114796689
69	0.1111588397
70	0.1109016067
71	0.1106055509
72	0.1103466191
73	0.1100217405
74	0.109764733
75	0.1093041763
76	0.1090321892
77	0.1086712385
78	0.1081755756
79	0.1079187844
80	0.1076887015
81	0.1074555108
82	0.1071462729
83	0.1068508854
84	0.1066335778
85	0.1063861946
86	0.1060731501
87	0.1058263613
88	0.1054875743
89	0.1051985834
90	0.1049991353
91	0.1047278665
92	0.1044494534
93	0.1041594195
94	0.1037620764
95	0.1034467145
96	0.1031628842
97	0.1028276816
98	0.1025377914
99	0.1021377533
