iter	Passed	Remaining
0	2	212
1	3	157
2	4	138
3	5	128
4	6	121
5	7	116
6	8	111
7	9	108
8	10	105
9	11	102
10	12	99
11	13	97
12	14	95
13	15	93
14	16	92
15	17	90
16	18	88
17	19	87
18	20	85
19	21	84
20	21	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
